index arm charge dw23_bin_center wness_bin_center value7 uncertainty7 value8 uncertainty8 value9 uncertainty9
0 0 0 -0.297500 0.002500 -0.404970 47.717062 -0.479417 38.754072 -0.587851 33.804264
1 0 0 -0.297500 0.007500 -0.390696 44.580592 -0.459474 36.410968 -0.565045 31.952660
2 0 0 -0.297500 0.012500 -0.376140 41.637280 -0.439660 34.213718 -0.542568 30.214714
3 0 0 -0.297500 0.017500 -0.361344 38.881989 -0.420009 32.157231 -0.520442 28.585900
4 0 0 -0.297500 0.022500 -0.346345 36.309156 -0.400557 30.236289 -0.498689 27.061700
5 0 0 -0.297500 0.027500 -0.331187 33.912830 -0.381340 28.445573 -0.477329 25.637614
6 0 0 -0.297500 0.032500 -0.315910 31.686726 -0.362392 26.779684 -0.456382 24.309177
7 0 0 -0.297500 0.037500 -0.300557 29.624270 -0.343747 25.233173 -0.435868 23.071968
8 0 0 -0.297500 0.042500 -0.285171 27.718650 -0.325438 23.800564 -0.415804 21.921618
9 0 0 -0.297500 0.047500 -0.269797 25.962859 -0.307498 22.476373 -0.396209 20.853826
10 0 0 -0.297500 0.052500 -0.254477 24.349749 -0.289958 21.255133 -0.377097 19.864361
11 0 0 -0.297500 0.057500 -0.239257 22.872070 -0.272848 20.131418 -0.358485 18.949076
12 0 0 -0.297500 0.062500 -0.224178 21.522524 -0.256197 19.099857 -0.340387 18.103916
13 0 0 -0.297500 0.067500 -0.209286 20.293799 -0.240035 18.155157 -0.322816 17.324922
14 0 0 -0.297500 0.072500 -0.194624 19.178618 -0.224388 17.292122 -0.305786 16.608239
15 0 0 -0.297500 0.077500 -0.180232 18.169775 -0.209282 16.505665 -0.289306 15.950125
16 0 0 -0.297500 0.082500 -0.166155 17.260171 -0.194740 15.790824 -0.273388 15.346952
17 0 0 -0.297500 0.087500 -0.152431 16.442849 -0.180786 15.142779 -0.258041 14.795213
18 0 0 -0.297500 0.092500 -0.139101 15.711024 -0.167441 14.556860 -0.243272 14.291525
19 0 0 -0.297500 0.097500 -0.126203 15.058115 -0.154724 14.028558 -0.229089 13.832634
20 0 0 -0.297500 0.102500 -0.113773 14.477762 -0.142653 13.553539 -0.215497 13.415413
21 0 0 -0.297500 0.107500 -0.101847 13.963856 -0.131244 13.127643 -0.202501 13.036871
22 0 0 -0.297500 0.112500 -0.090458 13.510550 -0.120512 12.746898 -0.190105 12.694147
23 0 0 -0.297500 0.117500 -0.079637 13.112281 -0.110468 12.407520 -0.178312 12.384515
24 0 0 -0.297500 0.122500 -0.069414 12.763775 -0.101125 12.105919 -0.167121 12.105384
