index arm charge dw23_bin_center wness_bin_center value7 uncertainty7 value8 uncertainty8 value9 uncertainty9
0 0 0 -0.297500 0.002500 0.018583 1.220943 0.031030 1.157386 0.022601 1.171520
1 0 0 -0.297500 0.007500 0.017063 1.214097 0.028110 1.154919 0.021151 1.168016
2 0 0 -0.297500 0.012500 0.015584 1.207612 0.025271 1.152558 0.019739 1.164671
3 0 0 -0.297500 0.017500 0.014146 1.201474 0.022514 1.150297 0.018363 1.161478
4 0 0 -0.297500 0.022500 0.012749 1.195670 0.019838 1.148135 0.017025 1.158432
5 0 0 -0.297500 0.027500 0.011394 1.190184 0.017242 1.146067 0.015724 1.155528
6 0 0 -0.297500 0.032500 0.010081 1.185005 0.014726 1.144092 0.014460 1.152761
7 0 0 -0.297500 0.037500 0.008811 1.180118 0.012290 1.142204 0.013232 1.150125
8 0 0 -0.297500 0.042500 0.007583 1.175512 0.009933 1.140402 0.012041 1.147616
9 0 0 -0.297500 0.047500 0.006399 1.171175 0.007655 1.138682 0.010886 1.145229
10 0 0 -0.297500 0.052500 0.005257 1.167093 0.005455 1.137041 0.009767 1.142960
11 0 0 -0.297500 0.057500 0.004159 1.163256 0.003332 1.135477 0.008683 1.140803
12 0 0 -0.297500 0.062500 0.003105 1.159653 0.001287 1.133987 0.007636 1.138755
13 0 0 -0.297500 0.067500 0.002094 1.156272 -0.000682 1.132567 0.006624 1.136811
14 0 0 -0.297500 0.072500 0.001126 1.153104 -0.002574 1.131216 0.005646 1.134967
15 0 0 -0.297500 0.077500 0.000202 1.150137 -0.004391 1.129931 0.004704 1.133219
16 0 0 -0.297500 0.082500 -0.000680 1.147363 -0.006134 1.128709 0.003796 1.131563
17 0 0 -0.297500 0.087500 -0.001518 1.144772 -0.007801 1.127548 0.002922 1.129995
18 0 0 -0.297500 0.092500 -0.002313 1.142353 -0.009396 1.126445 0.002082 1.128512
19 0 0 -0.297500 0.097500 -0.003066 1.140100 -0.010917 1.125399 0.001275 1.127110
20 0 0 -0.297500 0.102500 -0.003776 1.138002 -0.012366 1.124406 0.000501 1.125785
21 0 0 -0.297500 0.107500 -0.004445 1.136051 -0.013743 1.123465 -0.000240 1.124534
22 0 0 -0.297500 0.112500 -0.005072 1.134240 -0.015050 1.122574 -0.000949 1.123355
23 0 0 -0.297500 0.117500 -0.005658 1.132561 -0.016286 1.121730 -0.001627 1.122243
24 0 0 -0.297500 0.122500 -0.006203 1.131006 -0.017452 1.120931 -0.002272 1.121195
25 0 0 -0.297500 0.127500 -0.006709 1.129567 -0.018550 1.120177 -0.002887 1.120209
26 0 0 -0.297500 0.132500 -0.007175 1.128239 -0.019579 1.119463 -0.003472 1.119282
27 0 0 -0.297500 0.137500 -0.007601 1.127013 -0.020542 1.118790 -0.004026 1.118410
28 0 0 -0.297500 0.142500 -0.007990 1.125885 -0.021437 1.118155 -0.004550 1.117592
29 0 0 -0.297500 0.147500 -0.008342 1.124847 -0.022267 1.117556 -0.005046 1.116824
30 0 0 -0.297500 0.152500 -0.008656 1.123894 -0.023032 1.116991 -0.005513 1.116104
31 0 0 -0.297500 0.157500 -0.008935 1.123021 -0.023733 1.116460 -0.005952 1.115430
32 0 0 -0.297500 0.162500 -0.009178 1.122221 -0.024371 1.115960 -0.006364 1.114799
33 0 0 -0.297500 0.167500 -0.009387 1.121489 -0.024946 1.115490 -0.006748 1.114208
34 0 0 -0.297500 0.172500 -0.009562 1.120822 -0.025460 1.115049 -0.007106 1.113657
35 0 0 -0.297500 0.177500 -0.009706 1.120214 -0.025913 1.114635 -0.007438 1.113142
36 0 0 -0.297500 0.182500 -0.009817 1.119660 -0.026306 1.114246 -0.007744 1.112662
37 0 0 -0.297500 0.187500 -0.009898 1.119157 -0.026641 1.113882 -0.008026 1.112214
38 0 0 -0.297500 0.192500 -0.009950 1.118700 -0.026917 1.113541 -0.008284 1.111798
39 0 0 -0.297500 0.197500 -0.009973 1.118287 -0.027137 1.113223 -0.008518 1.111410
40 0 0 -0.297500 0.202500 -0.009969 1.117912 -0.027301 1.112925 -0.008729 1.111049
41 0 0 -0.297500 0.207500 -0.009938 1.117574 -0.027409 1.112646 -0.008918 1.110714
42 0 0 -0.297500 0.212500 -0.009882 1.117269 -0.027464 1.112387 -0.009084 1.110404
43 0 0 -0.297500 0.217500 -0.009803 1.116993 -0.027466 1.112145 -0.009230 1.110115
44 0 0 -0.297500 0.222500 -0.009701 1.116745 -0.027416 1.111919 -0.009355 1.109848
45 0 0 -0.297500 0.227500 -0.009577 1.116522 -0.027315 1.111710 -0.009460 1.109601
46 0 0 -0.297500 0.232500 -0.009433 1.116321 -0.027165 1.111515 -0.009546 1.109372
47 0 0 -0.297500 0.237500 -0.009270 1.116141 -0.026966 1.111334 -0.009613 1.109160
48 0 0 -0.297500 0.242500 -0.009089 1.115978 -0.026719 1.111166 -0.009662 1.108965
49 0 0 -0.297500 0.247500 -0.008892 1.115832 -0.026425 1.111010 -0.009694 1.108784
50 0 0 -0.297500 0.252500 -0.008679 1.115701 -0.026087 1.110866 -0.009709 1.108617
51 0 0 -0.297500 0.257500 -0.008453 1.115582 -0.025704 1.110733 -0.009708 1.108463
52 0 0 -0.297500 0.262500 -0.008215 1.115476 -0.025278 1.110610 -0.009692 1.108320
53 0 0 -0.297500 0.267500 -0.007965 1.115380 -0.024811 1.110497 -0.009661 1.108189
54 0 0 -0.297500 0.272500 -0.007705 1.115293 -0.024302 1.110392 -0.009616 1.108068
55 0 0 -0.297500 0.277500 -0.007437 1.115215 -0.023755 1.110295 -0.009558 1.107956
56 0 0 -0.297500 0.282500 -0.007162 1.115143 -0.023169 1.110207 -0.009487 1.107853
57 0 0 -0.297500 0.287500 -0.006882 1.115079 -0.022547 1.110125 -0.009405 1.107758
58 0 0 -0.297500 0.292500 -0.006597 1.115020 -0.021888 1.110050 -0.009310 1.107670
59 0 0 -0.297500 0.297500 -0.006309 1.114966 -0.021196 1.109982 -0.009206 1.107589
60 0 0 -0.297500 0.302500 -0.006019 1.114917 -0.020470 1.109919 -0.009091 1.107514
61 0 0 -0.297500 0.307500 -0.005730 1.114872 -0.019713 1.109862 -0.008967 1.107444
62 0 0 -0.297500 0.312500 -0.005441 1.114831 -0.018926 1.109809 -0.008835 1.107380
63 0 0 -0.297500 0.317500 -0.005155 1.114793 -0.018109 1.109762 -0.008694 1.107320
64 0 0 -0.297500 0.322500 -0.004872 1.114758 -0.017265 1.109718 -0.008547 1.107265
65 0 0 -0.297500 0.327500 -0.004595 1.114725 -0.016395 1.109678 -0.008393 1.107213
66 0 0 -0.297500 0.332500 -0.004324 1.114696 -0.015499 1.109643 -0.008232 1.107165
67 0 0 -0.297500 0.337500 -0.004061 1.114669 -0.014581 1.109610 -0.008067 1.107120
68 0 0 -0.297500 0.342500 -0.003806 1.114644 -0.013640 1.109580 -0.007897 1.107078
69 0 0 -0.297500 0.347500 -0.003562 1.114621 -0.012679 1.109554 -0.007724 1.107039
70 0 0 -0.297500 0.352500 -0.003329 1.114601 -0.011698 1.109530 -0.007547 1.107002
71 0 0 -0.297500 0.357500 -0.003109 1.114582 -0.010700 1.109508 -0.007367 1.106967
72 0 0 -0.297500 0.362500 -0.002903 1.114566 -0.009686 1.109488 -0.007185 1.106935
73 0 0 -0.297500 0.367500 -0.002712 1.114552 -0.008657 1.109471 -0.007002 1.106904
74 0 0 -0.297500 0.372500 -0.002536 1.114540 -0.007615 1.109455 -0.006819 1.106875
75 0 0 -0.297500 0.377500 -0.002378 1.114529 -0.006561 1.109441 -0.006635 1.106848
76 0 0 -0.297500 0.382500 -0.002238 1.114521 -0.005497 1.109429 -0.006452 1.106821
77 0 0 -0.297500 0.387500 -0.002117 1.114515 -0.004424 1.109418 -0.006270 1.106797
78 0 0 -0.297500 0.392500 -0.002016 1.114511 -0.003345 1.109408 -0.006090 1.106774
79 0 0 -0.297500 0.397500 -0.001937 1.114509 -0.002260 1.109399 -0.005912 1.106751
80 0 0 -0.297500 0.402500 -0.001879 1.114509 -0.001171 1.109392 -0.005737 1.106730
81 0 0 -0.297500 0.407500 -0.001844 1.114511 -0.000079 1.109385 -0.005565 1.106711
82 0 0 -0.297500 0.412500 -0.001833 1.114515 0.001013 1.109379 -0.005397 1.106692
83 0 0 -0.297500 0.417500 -0.001847 1.114521 0.002104 1.109375 -0.005234 1.106674
84 0 0 -0.297500 0.422500 -0.001885 1.114529 0.003193 1.109371 -0.005076 1.106658
85 0 0 -0.297500 0.427500 -0.001950 1.114540 0.004279 1.109367 -0.004924 1.106642
86 0 0 -0.297500 0.432500 -0.002041 1.114552 0.005358 1.109365 -0.004778 1.106627
87 0 0 -0.297500 0.437500 -0.002159 1.114566 0.006430 1.109363 -0.004638 1.106614
88 0 0 -0.297500 0.442500 -0.002304 1.114582 0.007494 1.109362 -0.004505 1.106601
89 0 0 -0.297500 0.447500 -0.002478 1.114601 0.008547 1.109361 -0.004380 1.106590
90 0 0 -0.297500 0.452500 -0.002680 1.114621 0.009589 1.109361 -0.004263 1.106579
91 0 0 -0.297500 0.457500 -0.002912 1.114644 0.010616 1.109362 -0.004155 1.106570
92 0 0 -0.297500 0.462500 -0.003172 1.114669 0.011629 1.109363 -0.004055 1.106561
93 0 0 -0.297500 0.467500 -0.003462 1.114696 0.012625 1.109365 -0.003965 1.106554
94 0 0 -0.297500 0.472500 -0.003782 1.114725 0.013602 1.109367 -0.003884 1.106547
95 0 0 -0.297500 0.477500 -0.004132 1.114758 0.014560 1.109371 -0.003814 1.106542
96 0 0 -0.297500 0.482500 -0.004512 1.114793 0.015496 1.109375 -0.003754 1.106538
97 0 0 -0.297500 0.487500 -0.004922 1.114831 0.016409 1.109379 -0.003704 1.106534
98 0 0 -0.297500 0.492500 -0.005363 1.114872 0.017298 1.109385 -0.003666 1.106532
99 0 0 -0.297500 0.497500 -0.005834 1.114917 0.018160 1.109392 -0.003639 1.106531
100 0 0 -0.297500 0.502500 -0.006335 1.114966 0.018995 1.109399 -0.003624 1.106531
101 0 0 -0.297500 0.507500 -0.006865 1.115020 0.019800 1.109408 -0.003621 1.106532
102 0 0 -0.297500 0.512500 -0.007426 1.115079 0.020575 1.109418 -0.003631 1.106534
103 0 0 -0.297500 0.517500 -0.008016 1.115143 0.021317 1.109429 -0.003653 1.106538
104 0 0 -0.297500 0.522500 -0.008636 1.115215 0.022026 1.109441 -0.003687 1.106542
105 0 0 -0.297500 0.527500 -0.009285 1.115293 0.022700 1.109455 -0.003735 1.106547
106 0 0 -0.297500 0.532500 -0.009962 1.115380 0.023336 1.109471 -0.003795 1.106554
107 0 0 -0.297500 0.537500 -0.010667 1.115476 0.023935 1.109488 -0.003870 1.106561
108 0 0 -0.297500 0.542500 -0.011400 1.115582 0.024495 1.109508 -0.003957 1.106570
109 0 0 -0.297500 0.547500 -0.012161 1.115701 0.025013 1.109530 -0.004058 1.106579
110 0 0 -0.297500 0.552500 -0.012948 1.115832 0.025489 1.109554 -0.004173 1.106590
111 0 0 -0.297500 0.557500 -0.013761 1.115978 0.025922 1.109580 -0.004302 1.106601
112 0 0 -0.297500 0.562500 -0.014599 1.116141 0.026310 1.109610 -0.004445 1.106614
113 0 0 -0.297500 0.567500 -0.015463 1.116321 0.026651 1.109643 -0.004602 1.106627
114 0 0 -0.297500 0.572500 -0.016350 1.116522 0.026946 1.109678 -0.004773 1.106642
115 0 0 -0.297500 0.577500 -0.017260 1.116745 0.027191 1.109718 -0.004957 1.106658
116 0 0 -0.297500 0.582500 -0.018193 1.116993 0.027387 1.109762 -0.005156 1.106674
117 0 0 -0.297500 0.587500 -0.019148 1.117269 0.027532 1.109809 -0.005370 1.106692
118 0 0 -0.297500 0.592500 -0.020124 1.117574 0.027625 1.109862 -0.005597 1.106711
119 0 0 -0.297500 0.597500 -0.021119 1.117912 0.027664 1.109919 -0.005838 1.106730
120 0 0 -0.297500 0.602500 -0.022133 1.118287 0.027649 1.109982 -0.006093 1.106751
121 0 0 -0.297500 0.607500 -0.023165 1.118700 0.027579 1.110050 -0.006362 1.106774
122 0 0 -0.297500 0.612500 -0.024215 1.119157 0.027452 1.110125 -0.006645 1.106797
123 0 0 -0.297500 0.617500 -0.025280 1.119660 0.027268 1.110207 -0.006941 1.106821
124 0 0 -0.297500 0.622500 -0.026360 1.120214 0.027026 1.110295 -0.007251 1.106848
125 0 0 -0.297500 0.627500 -0.027454 1.120822 0.026725 1.110392 -0.007575 1.106875
126 0 0 -0.297500 0.632500 -0.028562 1.121489 0.026364 1.110497 -0.007911 1.106904
127 0 0 -0.297500 0.637500 -0.029681 1.122221 0.025943 1.110610 -0.008261 1.106935
128 0 0 -0.297500 0.642500 -0.030810 1.123021 0.025460 1.110733 -0.008624 1.106967
129 0 0 -0.297500 0.647500 -0.031950 1.123894 0.024914 1.110866 -0.008999 1.107002
130 0 0 -0.297500 0.652500 -0.033097 1.124847 0.024306 1.111010 -0.009386 1.107039
131 0 0 -0.297500 0.657500 -0.034252 1.125885 0.023635 1.111166 -0.009786 1.107078
132 0 0 -0.297500 0.662500 -0.035414 1.127013 0.022899 1.111334 -0.010197 1.107120
133 0 0 -0.297500 0.667500 -0.036580 1.128239 0.022099 1.111515 -0.010621 1.107165
134 0 0 -0.297500 0.672500 -0.037751 1.129567 0.021234 1.111710 -0.011055 1.107213
135 0 0 -0.297500 0.677500 -0.038924 1.131006 0.020303 1.111919 -0.011500 1.107265
136 0 0 -0.297500 0.682500 -0.040098 1.132561 0.019307 1.112145 -0.011957 1.107320
137 0 0 -0.297500 0.687500 -0.041274 1.134240 0.018244 1.112387 -0.012423 1.107380
138 0 0 -0.297500 0.692500 -0.042448 1.136051 0.017115 1.112646 -0.012900 1.107444
139 0 0 -0.297500 0.697500 -0.043621 1.138002 0.015920 1.112925 -0.013386 1.107514
140 0 0 -0.297500 0.702500 -0.044790 1.140100 0.014657 1.113223 -0.013881 1.107589
141 0 0 -0.297500 0.707500 -0.045956 1.142353 0.013327 1.113541 -0.014386 1.107670
142 0 0 -0.297500 0.712500 -0.047116 1.144772 0.011930 1.113882 -0.014899 1.107758
143 0 0 -0.297500 0.717500 -0.048270 1.147363 0.010466 1.114246 -0.015420 1.107853
144 0 0 -0.297500 0.722500 -0.049416 1.150137 0.008935 1.114635 -0.015949 1.107956
145 0 0 -0.297500 0.727500 -0.050554 1.153104 0.007337 1.115049 -0.016485 1.108068
146 0 0 -0.297500 0.732500 -0.051682 1.156272 0.005671 1.115490 -0.017028 1.108189
147 0 0 -0.297500 0.737500 -0.052800 1.159653 0.003939 1.115960 -0.017577 1.108320
148 0 0 -0.297500 0.742500 -0.053905 1.163256 0.002140 1.116460 -0.018132 1.108463
149 0 0 -0.297500 0.747500 -0.054998 1.167093 0.000275 1.116991 -0.018693 1.108617
150 0 0 -0.297500 0.752500 -0.056077 1.171175 -0.001657 1.117556 -0.019258 1.108784
151 0 0 -0.297500 0.757500 -0.057141 1.175512 -0.003655 1.118155 -0.019829 1.108965
152 0 0 -0.297500 0.762500 -0.058190 1.180118 -0.005718 1.118790 -0.020403 1.109160
153 0 0 -0.297500 0.767500 -0.059221 1.185005 -0.007845 1.119463 -0.020981 1.109372
154 0 0 -0.297500 0.772500 -0.060235 1.190184 -0.010038 1.120177 -0.021562 1.109601
155 0 0 -0.297500 0.777500 -0.061230 1.195670 -0.012294 1.120931 -0.022146 1.109848
156 0 0 -0.297500 0.782500 -0.062206 1.201474 -0.014614 1.121730 -0.022731 1.110115
157 0 0 -0.297500 0.787500 -0.063161 1.207612 -0.016997 1.122574 -0.023318 1.110404
158 0 0 -0.297500 0.792500 -0.064096 1.214097 -0.019442 1.123465 -0.023907 1.110714
159 0 0 -0.297500 0.797500 -0.065008 1.220943 -0.021948 1.124406 -0.024496 1.111049
160 0 0 -0.297500 0.802500 -0.065898 1.228167 -0.024515 1.125399 -0.025084 1.111410
161 0 0 -0.297500 0.807500 -0.066764 1.235783 -0.027142 1.126445 -0.025673 1.111798
162 0 0 -0.297500 0.812500 -0.067606 1.243808 -0.029828 1.127548 -0.026260 1.112214
163 0 0 -0.297500 0.817500 -0.068423 1.252257 -0.032573 1.128709 -0.026846 1.112662
164 0 0 -0.297500 0.822500 -0.069214 1.261148 -0.035374 1.129931 -0.027429 1.113142
165 0 0 -0.297500 0.827500 -0.069979 1.270499 -0.038232 1.131216 -0.028011 1.113657
166 0 0 -0.297500 0.832500 -0.070717 1.280327 -0.041146 1.132567 -0.028588 1.114208
167 0 0 -0.297500 0.837500 -0.071428 1.290650 -0.044114 1.133987 -0.029163 1.114799
168 0 0 -0.297500 0.842500 -0.072111 1.301489 -0.047136 1.135477 -0.029733 1.115430
169 0 0 -0.297500 0.847500 -0.072766 1.312863 -0.050209 1.137041 -0.030298 1.116104
170 0 0 -0.297500 0.852500 -0.073392 1.324792 -0.053335 1.138682 -0.030858 1.116824
171 0 0 -0.297500 0.857500 -0.073988 1.337297 -0.056510 1.140402 -0.031413 1.117592
172 0 0 -0.297500 0.862500 -0.074555 1.350400 -0.059734 1.142204 -0.031961 1.118410
173 0 0 -0.297500 0.867500 -0.075091 1.364123 -0.063006 1.144092 -0.032502 1.119282
174 0 0 -0.297500 0.872500 -0.075597 1.378489 -0.066324 1.146067 -0.033036 1.120209
175 0 0 -0.297500 0.877500 -0.076072 1.393523 -0.069688 1.148135 -0.033562 1.121195
176 0 0 -0.297500 0.882500 -0.076516 1.409248 -0.073096 1.150297 -0.034080 1.122243
177 0 0 -0.297500 0.887500 -0.076928 1.425690 -0.076547 1.152558 -0.034589 1.123355
178 0 0 -0.297500 0.892500 -0.077309 1.442876 -0.080039 1.154919 -0.035089 1.124534
179 0 0 -0.297500 0.897500 -0.077658 1.460831 -0.083571 1.157386 -0.035578 1.125785
180 0 0 -0.297500 0.902500 -0.077975 1.479585 -0.087142 1.159961 -0.036058 1.127110
181 0 0 -0.297500 0.907500 -0.078260 1.499165 -0.090751 1.162649 -0.036527 1.128512
182 0 0 -0.297500 0.912500 -0.078512 1.519601 -0.094396 1.165452 -0.036984 1.129995
183 0 0 -0.297500 0.917500 -0.078733 1.540924 -0.098075 1.168375 -0.037430 1.131563
184 0 0 -0.297500 0.922500 -0.078921 1.563165 -0.101788 1.171421 -0.037863 1.133219
185 0 0 -0.297500 0.927500 -0.079076 1.586358 -0.105533 1.174595 -0.038284 1.134967
186 0 0 -0.297500 0.932500 -0.079199 1.610534 -0.109308 1.177901 -0.038692 1.136811
187 0 0 -0.297500 0.937500 -0.079290 1.635729 -0.113112 1.181343 -0.039086 1.138755
188 0 0 -0.297500 0.942500 -0.079349 1.661978 -0.116944 1.184924 -0.039466 1.140803
189 0 0 -0.297500 0.947500 -0.079375 1.689317 -0.120802 1.188651 -0.039832 1.142960
190 0 0 -0.297500 0.952500 -0.079370 1.717785 -0.124685 1.192526 -0.040182 1.145229
191 0 0 -0.297500 0.957500 -0.079333 1.747420 -0.128591 1.196555 -0.040518 1.147616
192 0 0 -0.297500 0.962500 -0.079263 1.778262 -0.132519 1.200742 -0.040838 1.150125
193 0 0 -0.297500 0.967500 -0.079163 1.810351 -0.136467 1.205092 -0.041142 1.152761
194 0 0 -0.297500 0.972500 -0.079031 1.843730 -0.140435 1.209611 -0.041430 1.155528
195 0 0 -0.297500 0.977500 -0.078868 1.878442 -0.144420 1.214302 -0.041700 1.158432
196 0 0 -0.297500 0.982500 -0.078675 1.914531 -0.148421 1.219172 -0.041954 1.161478
197 0 0 -0.297500 0.987500 -0.078451 1.952042 -0.152436 1.224226 -0.042190 1.164671
198 0 0 -0.297500 0.992500 -0.078197 1.991022 -0.156465 1.229468 -0.042408 1.168016
199 0 0 -0.297500 0.997500 -0.077913 2.031518 -0.160506 1.234906 -0.042608 1.171520
200 0 0 -0.292500 0.002500 0.039160 1.202406 0.059221 1.148376 0.040118 1.157433
201 0 0 -0.292500 0.007500 0.036953 1.196129 0.055516 1.146123 0.038139 1.154290
202 0 0 -0.292500 0.012500 0.034797 1.190197 0.051906 1.143969 0.036207 1.151296
203 0 0 -0.292500 0.017500 0.032692 1.184594 0.048389 1.141912 0.034322 1.148444
204 0 0 -0.292500 0.022500 0.030639 1.179307 0.044965 1.139948 0.032484 1.145730
205 0 0 -0.292500 0.027500 0.028639 1.174323 0.041634 1.138073 0.030692 1.143148
206 0 0 -0.292500 0.032500 0.026692 1.169629 0.038395 1.136285 0.028947 1.140694
207 0 0 -0.292500 0.037500 0.024800 1.165212 0.035247 1.134580 0.027249 1.138363
