# index arm charge dw23_bin_center wness_bin_center value uncertainty
0 0 0 -0.297500 0.002500 -0.587851 33.804264
1 0 0 -0.297500 0.007500 -0.565045 31.952660
2 0 0 -0.297500 0.012500 -0.542568 30.214714
3 0 0 -0.297500 0.017500 -0.520442 28.585900
4 0 0 -0.297500 0.022500 -0.498689 27.061700
5 0 0 -0.297500 0.027500 -0.477329 25.637614
6 0 0 -0.297500 0.032500 -0.456382 24.309177
7 0 0 -0.297500 0.037500 -0.435868 23.071968
8 0 0 -0.297500 0.042500 -0.415804 21.921618
9 0 0 -0.297500 0.047500 -0.396209 20.853826
10 0 0 -0.297500 0.052500 -0.377097 19.864361
11 0 0 -0.297500 0.057500 -0.358485 18.949076
12 0 0 -0.297500 0.062500 -0.340387 18.103916
13 0 0 -0.297500 0.067500 -0.322816 17.324922
14 0 0 -0.297500 0.072500 -0.305786 16.608239
15 0 0 -0.297500 0.077500 -0.289306 15.950125
16 0 0 -0.297500 0.082500 -0.273388 15.346952
17 0 0 -0.297500 0.087500 -0.258041 14.795213
18 0 0 -0.297500 0.092500 -0.243272 14.291525
19 0 0 -0.297500 0.097500 -0.229089 13.832634
20 0 0 -0.297500 0.102500 -0.215497 13.415413
21 0 0 -0.297500 0.107500 -0.202501 13.036871
22 0 0 -0.297500 0.112500 -0.190105 12.694147
23 0 0 -0.297500 0.117500 -0.178312 12.384515
24 0 0 -0.297500 0.122500 -0.167121 12.105384
25 0 0 -0.297500 0.127500 -0.156534 11.854296
26 0 0 -0.297500 0.132500 -0.146550 11.628924
27 0 0 -0.297500 0.137500 -0.137166 11.427076
28 0 0 -0.297500 0.142500 -0.128379 11.246684
29 0 0 -0.297500 0.147500 -0.120185 11.085812
30 0 0 -0.297500 0.152500 -0.112578 10.942643
31 0 0 -0.297500 0.157500 -0.105552 10.815485
32 0 0 -0.297500 0.162500 -0.099099 10.702761
33 0 0 -0.297500 0.167500 -0.093211 10.603009
34 0 0 -0.297500 0.172500 -0.087878 10.514876
35 0 0 -0.297500 0.177500 -0.083090 10.437113
36 0 0 -0.297500 0.182500 -0.078835 10.368574
37 0 0 -0.297500 0.187500 -0.075100 10.308210
38 0 0 -0.297500 0.192500 -0.071873 10.255061
39 0 0 -0.297500 0.197500 -0.069139 10.208257
40 0 0 -0.297500 0.202500 -0.066883 10.167009
41 0 0 -0.297500 0.207500 -0.065090 10.130606
42 0 0 -0.297500 0.212500 -0.063743 10.098408
