arm,charge,method,param_index,param_value
0,0,coax,0,-0.022150
0,0,coax,1,-0.000210
0,0,coax,2,0.116674
0,0,coax,3,-0.068895
0,0,coax,4,0.051785
0,0,coax,5,-0.028362
0,0,coax,6,5.901584
0,0,coax,7,-0.344503
0,0,coax,8,0.345420
0,0,coax,9,-1.913477
0,0,coax,10,4.635908
0,0,coax,11,-5.004488
0,0,coax,12,2.030049
0,0,offset,0,-0.002133
0,0,offset,1,-0.021583
0,0,offset,2,0.106556
0,0,offset,3,-0.057311
0,0,offset,4,0.048302
0,0,offset,5,-0.024542
0,0,offset,6,3.927597
0,0,offset,7,1.483320
0,0,offset,8,0.345420
0,0,offset,9,-1.913477
0,0,offset,10,4.635908
0,0,offset,11,-5.004488
0,0,offset,12,2.030049
0,0,offset,13,-0.025687
0,0,offset,14,0.027619
0,0,tripple,0,-0.064631
0,0,tripple,1,0.754248
0,0,tripple,2,0.238458
0,0,tripple,3,-0.057921
0,0,tripple,4,0.000027
0,0,tripple,5,-0.071003
0,0,tripple,6,0.940172
0,0,tripple,7,0.950378
0,0,tripple,8,0.345420
0,0,tripple,9,-1.913477
0,0,tripple,10,4.635908
0,0,tripple,11,-5.004488
0,0,tripple,12,2.030049
0,0,tripple,13,1955730.875000
0,0,tripple,14,-2798403.500000
0,0,tripple,15,0.010000
0,0,tripple,16,0.000000
0,0,tripple,17,0.025000
0,0,tripple,18,0.000000
0,0,tripple,19,0.050000
0,0,tripple,20,0.000000
0,1,coax,0,0.029012
0,1,coax,1,-0.006523
0,1,coax,2,0.097776
0,1,coax,3,-0.054937
0,1,coax,4,0.035997
0,1,coax,5,-0.014308
0,1,coax,6,2.727018
0,1,coax,7,1.385263
0,1,coax,8,0.423335
0,1,coax,9,-2.574633
0,1,coax,10,6.845708
0,1,coax,11,-8.149830
0,1,coax,12,3.630341
0,1,offset,0,0.015921
0,1,offset,1,0.006242
0,1,offset,2,0.092885
0,1,offset,3,-0.049366
0,1,offset,4,0.032054
0,1,offset,5,-0.009636
0,1,offset,6,2.193391
0,1,offset,7,1.800503
0,1,offset,8,0.423335
0,1,offset,9,-2.574633
0,1,offset,10,6.845708
0,1,offset,11,-8.149830
0,1,offset,12,3.630341
0,1,offset,13,0.019077
0,1,offset,14,-0.019159
0,1,tripple,0,8.607725
0,1,tripple,1,-74.659470
0,1,tripple,2,0.289311
0,1,tripple,3,-0.057882
0,1,tripple,4,0.000049
0,1,tripple,5,-0.077681
0,1,tripple,6,0.957665
0,1,tripple,7,0.960452
