index arm charge wness_bin_center dw23_bin_center entries
0 0 0 0.010000 -0.290000 824
1 0 0 0.010000 -0.270000 993
2 0 0 0.010000 -0.250000 1242
3 0 0 0.010000 -0.230000 1445
4 0 0 0.010000 -0.210000 1823
5 0 0 0.010000 -0.190000 2381
6 0 0 0.010000 -0.170000 3119
7 0 0 0.010000 -0.150000 4274
8 0 0 0.010000 -0.130000 6267
9 0 0 0.010000 -0.110000 9829
10 0 0 0.010000 -0.090000 17058
11 0 0 0.010000 -0.070000 32574
12 0 0 0.010000 -0.050000 83350
13 0 0 0.010000 -0.030000 366543
14 0 0 0.010000 -0.010000 385653
15 0 0 0.010000 0.010000 114894
16 0 0 0.010000 0.030000 44081
17 0 0 0.010000 0.050000 22429
18 0 0 0.010000 0.070000 12598
19 0 0 0.010000 0.090000 8135
20 0 0 0.010000 0.110000 5652
21 0 0 0.010000 0.130000 4133
22 0 0 0.010000 0.150000 3017
23 0 0 0.010000 0.170000 2308
24 0 0 0.010000 0.190000 1871
25 0 0 0.010000 0.210000 1482
26 0 0 0.010000 0.230000 1129
27 0 0 0.010000 0.250000 1018
28 0 0 0.010000 0.270000 837
29 0 0 0.010000 0.290000 659
30 0 0 0.030000 -0.290000 5
31 0 0 0.030000 -0.270000 10
32 0 0 0.030000 -0.250000 6
33 0 0 0.030000 -0.230000 16
34 0 0 0.030000 -0.210000 18
35 0 0 0.030000 -0.190000 19
36 0 0 0.030000 -0.170000 33
37 0 0 0.030000 -0.150000 36
38 0 0 0.030000 -0.130000 80
39 0 0 0.030000 -0.110000 103
40 0 0 0.030000 -0.090000 227
41 0 0 0.030000 -0.070000 579
42 0 0 0.030000 -0.050000 3885
43 0 0 0.030000 -0.030000 34820
44 0 0 0.030000 -0.010000 38757
45 0 0 0.030000 0.010000 6631
46 0 0 0.030000 0.030000 805
47 0 0 0.030000 0.050000 276
48 0 0 0.030000 0.070000 165
49 0 0 0.030000 0.090000 103
50 0 0 0.030000 0.110000 68
51 0 0 0.030000 0.130000 45
52 0 0 0.030000 0.150000 33
53 0 0 0.030000 0.170000 11
54 0 0 0.030000 0.190000 16
55 0 0 0.030000 0.210000 5
56 0 0 0.030000 0.230000 16
57 0 0 0.030000 0.250000 2
58 0 0 0.030000 0.270000 6
59 0 0 0.030000 0.290000 2
60 0 0 0.050000 -0.290000 3
61 0 0 0.050000 -0.270000 3
62 0 0 0.050000 -0.250000 9
63 0 0 0.050000 -0.230000 7
64 0 0 0.050000 -0.210000 9
65 0 0 0.050000 -0.190000 4
66 0 0 0.050000 -0.170000 20
67 0 0 0.050000 -0.150000 20
68 0 0 0.050000 -0.130000 39
69 0 0 0.050000 -0.110000 73
70 0 0 0.050000 -0.090000 128
71 0 0 0.050000 -0.070000 345
72 0 0 0.050000 -0.050000 2400
73 0 0 0.050000 -0.030000 23524
74 0 0 0.050000 -0.010000 26968
75 0 0 0.050000 0.010000 4349
76 0 0 0.050000 0.030000 475
77 0 0 0.050000 0.050000 196
78 0 0 0.050000 0.070000 74
79 0 0 0.050000 0.090000 43
80 0 0 0.050000 0.110000 39
81 0 0 0.050000 0.130000 24
82 0 0 0.050000 0.150000 11
83 0 0 0.050000 0.170000 11
84 0 0 0.050000 0.190000 4
85 0 0 0.050000 0.210000 9
86 0 0 0.050000 0.230000 4
87 0 0 0.050000 0.250000 3
88 0 0 0.050000 0.270000 1
89 0 0 0.050000 0.290000 0
90 0 0 0.070000 -0.290000 0
91 0 0 0.070000 -0.270000 1
92 0 0 0.070000 -0.250000 4
93 0 0 0.070000 -0.230000 7
94 0 0 0.070000 -0.210000 3
95 0 0 0.070000 -0.190000 4
96 0 0 0.070000 -0.170000 9
97 0 0 0.070000 -0.150000 19
98 0 0 0.070000 -0.130000 25
99 0 0 0.070000 -0.110000 63
100 0 0 0.070000 -0.090000 97
101 0 0 0.070000 -0.070000 285
102 0 0 0.070000 -0.050000 1862
103 0 0 0.070000 -0.030000 18725
104 0 0 0.070000 -0.010000 21457
105 0 0 0.070000 0.010000 3303
106 0 0 0.070000 0.030000 363
107 0 0 0.070000 0.050000 128
108 0 0 0.070000 0.070000 84
109 0 0 0.070000 0.090000 37
110 0 0 0.070000 0.110000 19
111 0 0 0.070000 0.130000 18
112 0 0 0.070000 0.150000 10
113 0 0 0.070000 0.170000 4
114 0 0 0.070000 0.190000 4
115 0 0 0.070000 0.210000 5
116 0 0 0.070000 0.230000 2
117 0 0 0.070000 0.250000 0
118 0 0 0.070000 0.270000 0
119 0 0 0.070000 0.290000 1
120 0 0 0.090000 -0.290000 1
121 0 0 0.090000 -0.270000 2
122 0 0 0.090000 -0.250000 3
123 0 0 0.090000 -0.230000 2
124 0 0 0.090000 -0.210000 8
125 0 0 0.090000 -0.190000 7
126 0 0 0.090000 -0.170000 11
127 0 0 0.090000 -0.150000 18
128 0 0 0.090000 -0.130000 26
129 0 0 0.090000 -0.110000 35
130 0 0 0.090000 -0.090000 71
131 0 0 0.090000 -0.070000 186
132 0 0 0.090000 -0.050000 1385
133 0 0 0.090000 -0.030000 15687
134 0 0 0.090000 -0.010000 18391
135 0 0 0.090000 0.010000 2730
136 0 0 0.090000 0.030000 285
137 0 0 0.090000 0.050000 101
138 0 0 0.090000 0.070000 55
139 0 0 0.090000 0.090000 29
140 0 0 0.090000 0.110000 24
141 0 0 0.090000 0.130000 14
142 0 0 0.090000 0.150000 13
143 0 0 0.090000 0.170000 4
144 0 0 0.090000 0.190000 6
145 0 0 0.090000 0.210000 1
146 0 0 0.090000 0.230000 2
147 0 0 0.090000 0.250000 4
148 0 0 0.090000 0.270000 1
149 0 0 0.090000 0.290000 0
150 0 0 0.110000 -0.290000 1
151 0 0 0.110000 -0.270000 5
152 0 0 0.110000 -0.250000 2
153 0 0 0.110000 -0.230000 5
154 0 0 0.110000 -0.210000 2
155 0 0 0.110000 -0.190000 7
156 0 0 0.110000 -0.170000 9
157 0 0 0.110000 -0.150000 10
158 0 0 0.110000 -0.130000 24
159 0 0 0.110000 -0.110000 33
160 0 0 0.110000 -0.090000 54
161 0 0 0.110000 -0.070000 154
162 0 0 0.110000 -0.050000 1201
163 0 0 0.110000 -0.030000 13980
164 0 0 0.110000 -0.010000 16335
165 0 0 0.110000 0.010000 2322
166 0 0 0.110000 0.030000 232
167 0 0 0.110000 0.050000 70
168 0 0 0.110000 0.070000 40
169 0 0 0.110000 0.090000 21
170 0 0 0.110000 0.110000 22
171 0 0 0.110000 0.130000 11
172 0 0 0.110000 0.150000 4
