index arm charge wness_bin_center dw23_bin_center entries
0 0 0 0.010000 -0.290000 1566
1 0 0 0.010000 -0.270000 1817
2 0 0 0.010000 -0.250000 2009
3 0 0 0.010000 -0.230000 2389
4 0 0 0.010000 -0.210000 2852
5 0 0 0.010000 -0.190000 3301
6 0 0 0.010000 -0.170000 3912
7 0 0 0.010000 -0.150000 4638
8 0 0 0.010000 -0.130000 5414
9 0 0 0.010000 -0.110000 6525
10 0 0 0.010000 -0.090000 7599
11 0 0 0.010000 -0.070000 8364
12 0 0 0.010000 -0.050000 9056
13 0 0 0.010000 -0.030000 8973
14 0 0 0.010000 -0.010000 8549
15 0 0 0.010000 0.010000 7871
16 0 0 0.010000 0.030000 7738
17 0 0 0.010000 0.050000 7540
18 0 0 0.010000 0.070000 6910
19 0 0 0.010000 0.090000 6227
20 0 0 0.010000 0.110000 5526
21 0 0 0.010000 0.130000 4642
22 0 0 0.010000 0.150000 4027
23 0 0 0.010000 0.170000 3401
24 0 0 0.010000 0.190000 2857
25 0 0 0.010000 0.210000 2498
26 0 0 0.010000 0.230000 2049
27 0 0 0.010000 0.250000 1822
28 0 0 0.010000 0.270000 1551
29 0 0 0.010000 0.290000 1363
30 0 0 0.030000 -0.290000 2
31 0 0 0.030000 -0.270000 5
32 0 0 0.030000 -0.250000 6
33 0 0 0.030000 -0.230000 7
34 0 0 0.030000 -0.210000 6
35 0 0 0.030000 -0.190000 32
36 0 0 0.030000 -0.170000 36
37 0 0 0.030000 -0.150000 49
38 0 0 0.030000 -0.130000 67
39 0 0 0.030000 -0.110000 116
40 0 0 0.030000 -0.090000 173
41 0 0 0.030000 -0.070000 230
42 0 0 0.030000 -0.050000 275
43 0 0 0.030000 -0.030000 295
44 0 0 0.030000 -0.010000 251
45 0 0 0.030000 0.010000 234
46 0 0 0.030000 0.030000 195
47 0 0 0.030000 0.050000 190
48 0 0 0.030000 0.070000 106
49 0 0 0.030000 0.090000 69
50 0 0 0.030000 0.110000 57
51 0 0 0.030000 0.130000 43
52 0 0 0.030000 0.150000 34
53 0 0 0.030000 0.170000 19
54 0 0 0.030000 0.190000 12
55 0 0 0.030000 0.210000 11
56 0 0 0.030000 0.230000 6
57 0 0 0.030000 0.250000 4
58 0 0 0.030000 0.270000 6
59 0 0 0.030000 0.290000 4
60 0 0 0.050000 -0.290000 2
61 0 0 0.050000 -0.270000 1
62 0 0 0.050000 -0.250000 5
63 0 0 0.050000 -0.230000 8
64 0 0 0.050000 -0.210000 4
65 0 0 0.050000 -0.190000 13
66 0 0 0.050000 -0.170000 19
67 0 0 0.050000 -0.150000 30
68 0 0 0.050000 -0.130000 44
