index arm charge dw23_bin_center wness_bin_center value7 uncertainty7 value8 uncertainty8 value9 uncertainty9
0 0 0 -0.297500 0.002500 0.921287 1.115434 0.707784 1.114585 0.520909 1.089721
1 0 0 -0.297500 0.007500 0.897342 1.114147 0.679387 1.111290 0.510680 1.088902
2 0 0 -0.297500 0.012500 0.873829 1.112905 0.651841 1.108175 0.500603 1.088109
3 0 0 -0.297500 0.017500 0.850742 1.111706 0.625123 1.105234 0.490679 1.087340
4 0 0 -0.297500 0.022500 0.828074 1.110548 0.599214 1.102456 0.480904 1.086595
5 0 0 -0.297500 0.027500 0.805818 1.109432 0.574094 1.099835 0.471277 1.085874
6 0 0 -0.297500 0.032500 0.783968 1.108356 0.549743 1.097364 0.461796 1.085175
7 0 0 -0.297500 0.037500 0.762517 1.107318 0.526142 1.095034 0.452460 1.084498
8 0 0 -0.297500 0.042500 0.741459 1.106318 0.503274 1.092839 0.443268 1.083843
9 0 0 -0.297500 0.047500 0.720787 1.105355 0.481120 1.090773 0.434216 1.083209
10 0 0 -0.297500 0.052500 0.700496 1.104427 0.459663 1.088829 0.425305 1.082596
11 0 0 -0.297500 0.057500 0.680580 1.103534 0.438887 1.087000 0.416531 1.082003
12 0 0 -0.297500 0.062500 0.661032 1.102675 0.418775 1.085282 0.407895 1.081430
13 0 0 -0.297500 0.067500 0.641848 1.101848 0.399311 1.083669 0.399393 1.080875
14 0 0 -0.297500 0.072500 0.623021 1.101053 0.380480 1.082155 0.391025 1.080340
15 0 0 -0.297500 0.077500 0.604546 1.100289 0.362268 1.080735 0.382790 1.079822
16 0 0 -0.297500 0.082500 0.586418 1.099555 0.344659 1.079404 0.374685 1.079322
17 0 0 -0.297500 0.087500 0.568631 1.098850 0.327639 1.078158 0.366710 1.078839
18 0 0 -0.297500 0.092500 0.551181 1.098174 0.311194 1.076992 0.358862 1.078374
19 0 0 -0.297500 0.097500 0.534063 1.097524 0.295312 1.075902 0.351141 1.077924
20 0 0 -0.297500 0.102500 0.517271 1.096901 0.279979 1.074884 0.343545 1.077490
21 0 0 -0.297500 0.107500 0.500800 1.096304 0.265183 1.073933 0.336073 1.077072
22 0 0 -0.297500 0.112500 0.484647 1.095732 0.250910 1.073045 0.328724 1.076669
23 0 0 -0.297500 0.117500 0.468807 1.095184 0.237150 1.072219 0.321496 1.076281
24 0 0 -0.297500 0.122500 0.453274 1.094659 0.223889 1.071449 0.314387 1.075907
25 0 0 -0.297500 0.127500 0.438045 1.094157 0.211118 1.070732 0.307398 1.075546
26 0 0 -0.297500 0.132500 0.423115 1.093677 0.198824 1.070066 0.300526 1.075200
27 0 0 -0.297500 0.137500 0.408481 1.093217 0.186997 1.069448 0.293770 1.074866
28 0 0 -0.297500 0.142500 0.394138 1.092779 0.175626 1.068874 0.287129 1.074545
29 0 0 -0.297500 0.147500 0.380082 1.092360 0.164702 1.068341 0.280601 1.074236
30 0 0 -0.297500 0.152500 0.366309 1.091960 0.154212 1.067848 0.274187 1.073940
31 0 0 -0.297500 0.157500 0.352815 1.091578 0.144149 1.067392 0.267884 1.073655
32 0 0 -0.297500 0.162500 0.339597 1.091215 0.134502 1.066970 0.261691 1.073381
33 0 0 -0.297500 0.167500 0.326651 1.090868 0.125262 1.066580 0.255607 1.073118
34 0 0 -0.297500 0.172500 0.313973 1.090538 0.116420 1.066220 0.249632 1.072866
35 0 0 -0.297500 0.177500 0.301560 1.090224 0.107966 1.065888 0.243764 1.072624
36 0 0 -0.297500 0.182500 0.289408 1.089925 0.099892 1.065582 0.238001 1.072393
37 0 0 -0.297500 0.187500 0.277515 1.089641 0.092189 1.065300 0.232344 1.072171
38 0 0 -0.297500 0.192500 0.265876 1.089371 0.084849 1.065041 0.226790 1.071958
39 0 0 -0.297500 0.197500 0.254489 1.089115 0.077863 1.064803 0.221339 1.071755
40 0 0 -0.297500 0.202500 0.243350 1.088872 0.071223 1.064584 0.215990 1.071560
41 0 0 -0.297500 0.207500 0.232457 1.088642 0.064922 1.064383 0.210742 1.071374
42 0 0 -0.297500 0.212500 0.221807 1.088424 0.058951 1.064199 0.205594 1.071196
43 0 0 -0.297500 0.217500 0.211396 1.088217 0.053303 1.064030 0.200545 1.071026
44 0 0 -0.297500 0.222500 0.201222 1.088022 0.047969 1.063876 0.195593 1.070864
45 0 0 -0.297500 0.227500 0.191282 1.087837 0.042944 1.063734 0.190739 1.070709
46 0 0 -0.297500 0.232500 0.181573 1.087663 0.038218 1.063604 0.185981 1.070561
47 0 0 -0.297500 0.237500 0.172093 1.087498 0.033786 1.063486 0.181317 1.070420
48 0 0 -0.297500 0.242500 0.162839 1.087343 0.029639 1.063377 0.176749 1.070286
49 0 0 -0.297500 0.247500 0.153809 1.087197 0.025771 1.063278 0.172273 1.070159
50 0 0 -0.297500 0.252500 0.145000 1.087059 0.022175 1.063186 0.167891 1.070037
51 0 0 -0.297500 0.257500 0.136410 1.086929 0.018844 1.063103 0.163599 1.069922
52 0 0 -0.297500 0.262500 0.128036 1.086808 0.015771 1.063027 0.159399 1.069812
53 0 0 -0.297500 0.267500 0.119877 1.086694 0.012950 1.062957 0.155289 1.069708
54 0 0 -0.297500 0.272500 0.111929 1.086587 0.010373 1.062893 0.151268 1.069609
55 0 0 -0.297500 0.277500 0.104192 1.086486 0.008034 1.062834 0.147335 1.069516
56 0 0 -0.297500 0.282500 0.096663 1.086393 0.005927 1.062780 0.143490 1.069427
57 0 0 -0.297500 0.287500 0.089339 1.086305 0.004045 1.062730 0.139732 1.069343
58 0 0 -0.297500 0.292500 0.082219 1.086223 0.002381 1.062684 0.136059 1.069264
59 0 0 -0.297500 0.297500 0.075301 1.086147 0.000930 1.062642 0.132472 1.069189
60 0 0 -0.297500 0.302500 0.068584 1.086077 -0.000316 1.062602 0.128970 1.069118
61 0 0 -0.297500 0.307500 0.062064 1.086011 -0.001362 1.062566 0.125551 1.069051
62 0 0 -0.297500 0.312500 0.055741 1.085950 -0.002215 1.062532 0.122215 1.068988
63 0 0 -0.297500 0.317500 0.049613 1.085894 -0.002881 1.062501 0.118962 1.068928
64 0 0 -0.297500 0.322500 0.043678 1.085842 -0.003367 1.062472 0.115790 1.068872
65 0 0 -0.297500 0.327500 0.037935 1.085795 -0.003679 1.062445 0.112699 1.068819
66 0 0 -0.297500 0.332500 0.032382 1.085751 -0.003822 1.062420 0.109688 1.068770
67 0 0 -0.297500 0.337500 0.027017 1.085712 -0.003804 1.062396 0.106757 1.068723
68 0 0 -0.297500 0.342500 0.021839 1.085676 -0.003631 1.062374 0.103904 1.068680
69 0 0 -0.297500 0.347500 0.016847 1.085643 -0.003308 1.062353 0.101130 1.068639
70 0 0 -0.297500 0.352500 0.012040 1.085614 -0.002842 1.062333 0.098433 1.068601
71 0 0 -0.297500 0.357500 0.007415 1.085589 -0.002240 1.062315 0.095813 1.068565
72 0 0 -0.297500 0.362500 0.002972 1.085566 -0.001507 1.062298 0.093269 1.068532
73 0 0 -0.297500 0.367500 -0.001290 1.085546 -0.000649 1.062282 0.090801 1.068501
74 0 0 -0.297500 0.372500 -0.005373 1.085530 0.000326 1.062267 0.088408 1.068472
75 0 0 -0.297500 0.377500 -0.009278 1.085516 0.001413 1.062253 0.086089 1.068445
76 0 0 -0.297500 0.382500 -0.013005 1.085505 0.002605 1.062240 0.083844 1.068420
77 0 0 -0.297500 0.387500 -0.016557 1.085497 0.003896 1.062228 0.081672 1.068396
