index arm charge dw23_bin_center wness_bin_center value7 uncertainty7 value8 uncertainty8 value9 uncertainty9
0 0 0 -0.297500 0.002500 1.130151 75.900793 1.098991 71.582423 1.096869 58.124798
1 0 0 -0.297500 0.007500 1.103168 70.439148 1.072682 66.482478 1.077143 54.551175
2 0 0 -0.297500 0.012500 1.076563 65.347218 1.046745 61.723299 1.057882 51.213685
3 0 0 -0.297500 0.017500 1.050380 60.611156 1.021230 57.292676 1.039092 48.101698
4 0 0 -0.297500 0.022500 1.024667 56.216689 0.996183 53.177945 1.020778 45.204697
5 0 0 -0.297500 0.027500 0.999464 52.149212 0.971647 49.366073 1.002942 42.512302
6 0 0 -0.297500 0.032500 0.974811 48.393868 0.947663 45.843738 0.985588 40.014295
7 0 0 -0.297500 0.037500 0.950744 44.935633 0.924269 42.597405 0.968716 37.700637
8 0 0 -0.297500 0.042500 0.927299 41.759402 0.901501 39.613410 0.952326 35.561496
9 0 0 -0.297500 0.047500 0.904505 38.850058 0.879391 36.878026 0.936417 33.587256
10 0 0 -0.297500 0.052500 0.882391 36.192553 0.857966 34.377542 0.920987 31.768545
11 0 0 -0.297500 0.057500 0.860981 33.771980 0.837252 32.098331 0.906031 30.096241
12 0 0 -0.297500 0.062500 0.840296 31.573631 0.817272 30.026909 0.891544 28.561490
13 0 0 -0.297500 0.067500 0.820355 29.583069 0.798043 28.150001 0.877520 27.155720
14 0 0 -0.297500 0.072500 0.801171 27.786179 0.779579 26.454597 0.863953 25.870647
15 0 0 -0.297500 0.077500 0.782756 26.169218 0.761893 24.927999 0.850833 24.698286
16 0 0 -0.297500 0.082500 0.765118 24.718868 0.744991 23.557871 0.838152 23.630959
17 0 0 -0.297500 0.087500 0.748261 23.422271 0.728877 22.332280 0.825899 22.661297
18 0 0 -0.297500 0.092500 0.732184 22.267066 0.713551 21.239730 0.814063 21.782251
19 0 0 -0.297500 0.097500 0.716887 21.241421 0.699009 20.269196 0.802631 20.987086
20 0 0 -0.297500 0.102500 0.702361 20.334053 0.685244 19.410147 0.791590 20.269390
21 0 0 -0.297500 0.107500 0.688598 19.534253 0.672245 18.652570 0.780926 19.623067
22 0 0 -0.297500 0.112500 0.675585 18.831894 0.659998 17.986980 0.770625 19.042341
23 0 0 -0.297500 0.117500 0.663306 18.217443 0.648484 17.404438 0.760670 18.521749
24 0 0 -0.297500 0.122500 0.651741 17.681966 0.637684 16.896552 0.751046 18.056142
25 0 0 -0.297500 0.127500 0.640868 17.217123 0.627572 16.455479 0.741736 17.640673
26 0 0 -0.297500 0.132500 0.630662 16.815166 0.618121 16.073926 0.732721 17.270799
27 0 0 -0.297500 0.137500 0.621096 16.468933 0.609302 15.745138 0.723985 16.942267
28 0 0 -0.297500 0.142500 0.612139 16.171828 0.601081 15.462896 0.715508 16.651111
29 0 0 -0.297500 0.147500 0.603757 15.917814 0.593423 15.221493 0.707272 16.393642
30 0 0 -0.297500 0.152500 0.595917 15.701385 0.586291 15.015730 0.699257 16.166439
31 0 0 -0.297500 0.157500 0.588581 15.517556 0.579644 14.840886 0.691444 15.966337
32 0 0 -0.297500 0.162500 0.581709 15.361828 0.573441 14.692705 0.683813 15.790421
33 0 0 -0.297500 0.167500 0.575262 15.230173 0.567639 14.567370 0.676345 15.636014
34 0 0 -0.297500 0.172500 0.569197 15.119000 0.562192 14.461480 0.669019 15.500662
35 0 0 -0.297500 0.177500 0.563471 15.025132 0.557055 14.372023 0.661815 15.382130
36 0 0 -0.297500 0.182500 0.558040 14.945778 0.552180 14.296351 0.654713 15.278384
37 0 0 -0.297500 0.187500 0.552859 14.878500 0.547519 14.232153 0.647694 15.187585
38 0 0 -0.297500 0.192500 0.547881 14.821191 0.543025 14.177430 0.640737 15.108072
39 0 0 -0.297500 0.197500 0.543062 14.772041 0.538650 14.130466 0.633824 15.038357
40 0 0 -0.297500 0.202500 0.538356 14.729513 0.534344 14.089801 0.626935 14.977107
41 0 0 -0.297500 0.207500 0.533716 14.692314 0.530060 14.054210 0.620051 14.923139
42 0 0 -0.297500 0.212500 0.529098 14.659368 0.525751 14.022674 0.613154 14.875406
43 0 0 -0.297500 0.217500 0.524456 14.629795 0.521369 13.994356 0.606225 14.832984
44 0 0 -0.297500 0.222500 0.519748 14.602884 0.516871 13.968582 0.599248 14.795068
45 0 0 -0.297500 0.227500 0.514931 14.578070 0.512210 13.944816 0.592206 14.760956
46 0 0 -0.297500 0.232500 0.509963 14.554917 0.507346 13.922643 0.585081 14.730044
47 0 0 -0.297500 0.237500 0.504805 14.533094 0.502237 13.901747 0.577860 14.701812
48 0 0 -0.297500 0.242500 0.499419 14.512361 0.496845 13.881899 0.570527 14.675821
49 0 0 -0.297500 0.247500 0.493769 14.492553 0.491133 13.862937 0.563067 14.651699
50 0 0 -0.297500 0.252500 0.487821 14.473562 0.485068 13.844755 0.555469 14.629139
51 0 0 -0.297500 0.257500 0.481543 14.455329 0.478618 13.827291 0.547719 14.607886
